Comments,Surrounding Code Context,Class
Sorts a slice of elements using the merge sort algorithm.,"pub fn merge_sort<T: Ord>(arr: &mut [T]) { let mid = arr.len() / 2; if mid == 0 { return; } merge_sort(&mut arr[..mid]); merge_sort(&mut arr[mid..]); let mut result = Vec::with_capacity(arr.len()); let (mut left, mut right) = (0, mid); while left < mid && right < arr.len() { if arr[left] <= arr[right] { result.push(arr[left]); left += 1; } else { result.push(arr[right]); right += 1; } } result.extend_from_slice(&arr[left..mid]); result.extend_from_slice(&arr[right..]); arr.copy_from_slice(&result); }",Useful
Defines a graph class that allows adding nodes and edges.,"class Graph { constructor() { this.nodes = {}; } addNode(node) { this.nodes[node] = []; } addEdge(node1, node2) { this.nodes[node1].push(node2); this.nodes[node2].push(node1); } }",Useful
Implements Dijkstra's algorithm to find the shortest paths from a starting vertex in a graph.,"def dijkstra(graph, start): shortest_paths = {vertex: float('infinity') for vertex in graph}; shortest_paths[start] = 0; pq = [(0, start)]; while pq: current_distance, current_vertex = heapq.heappop(pq); for neighbor, weight in graph[current_vertex].items(): distance = current_distance + weight; if distance < shortest_paths[neighbor]: shortest_paths[neighbor] = distance; heapq.heappush(pq, (distance, neighbor)); return shortest_paths",Useful
Sorts an array using the selection sort algorithm.,"function selectionSort(arr) { for (let i = 0; i < arr.length - 1; i++) { let minIndex = i; for (let j = i + 1; j < arr.length; j++) { if (arr[j] < arr[minIndex]) { minIndex = j; } } if (minIndex !== i) { [arr[i], arr[minIndex]] = [arr[minIndex], arr[i]]; } } return arr; }",Useful
Defines an AVL tree class with insertion and balancing methods.,"class AVLTree { constructor() { this.root = null; } insert(value) { this.root = this._insert(this.root, value); } _insert(node, value) { if (!node) return new Node(value); if (value < node.value) node.left = this._insert(node.left, value); else if (value > node.value) node.right = this._insert(node.right, value); return this._balance(node); } _balance(node) { // Balancing logic here } }",Useful
Implements breadth-first search algorithm to traverse a graph.,"def bfs(graph, start): visited = set(); queue = [start]; while queue: vertex = queue.pop(0); if vertex not in visited: visited.add(vertex); queue.extend(set(graph[vertex]) - visited); return visited",Useful
Merges two sorted arrays into one sorted array.,"function mergeArrays(arr1, arr2) { let merged = []; let i = 0, j = 0; while (i < arr1.length && j < arr2.length) { if (arr1[i] < arr2[j]) { merged.push(arr1[i++]); } else { merged.push(arr2[j++]); } } return merged.concat(arr1.slice(i)).concat(arr2.slice(j)); }",Useful
Calculates the depth of a binary tree recursively.,"pub fn binary_tree_depth<T>(node: &Option<Box<Node<T>>>) -> usize { match node { Some(n) => 1 + binary_tree_depth(&n.left).max(binary_tree_depth(&n.right)), None => 0, } }",Useful
Defines a simple queue class with enqueue and dequeue methods.,class Queue { constructor() { this.items = []; } enqueue(item) { this.items.push(item); } dequeue() { return this.items.shift(); } isEmpty() { return this.items.length === 0; } },Useful
Determines whether a number is prime or not.,"def is_prime(num): if num < 2: return False; for i in range(2, int(num**0.5) + 1): if num % i == 0: return False; return True",Useful
Calculates the factorial of a number using recursion.,function factorial(n) { if (n < 0) return undefined; return n === 0 ? 1 : n * factorial(n - 1); },Useful
Defines a max heap data structure with insertion functionality.,"class MaxHeap { constructor() { this.heap = []; } insert(num) { this.heap.push(num); this.bubbleUp(); } bubbleUp() { let index = this.heap.length - 1; while (index > 0) { let parentIndex = Math.floor((index - 1) / 2); if (this.heap[parentIndex] >= this.heap[index]) break; [this.heap[parentIndex], this.heap[index]] = [this.heap[index], this.heap[parentIndex]]; index = parentIndex; } } }",Useful
Removes duplicates from a vector in Rust.,pub fn remove_duplicates(vec: &mut Vec<i32>) { let mut seen = HashSet::new(); vec.retain(|&x| seen.insert(x)); },Useful
Rotates an array to the right by k steps.,"def rotate_array(arr, k): k = k % len(arr); return arr[-k:] + arr[:-k]",Useful
Performs binary search on a sorted array to find the target index.,"function binarySearch(arr, target) { let left = 0, right = arr.length - 1; while (left <= right) { const mid = Math.floor((left + right) / 2); if (arr[mid] === target) return mid; if (arr[mid] < target) left = mid + 1; else right = mid - 1; } return -1; }",Useful
Computes the length of the longest common subsequence between two strings.,"def longest_common_subsequence(a, b): m, n = len(a), len(b); dp = [[0] * (n + 1) for _ in range(m + 1)]; for i in range(1, m + 1): for j in range(1, n + 1): if a[i - 1] == b[j - 1]: dp[i][j] = dp[i - 1][j - 1] + 1; else: dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]); return dp[m][n]",Useful
Defines a trie data structure for efficient word storage and retrieval.,class TrieNode { constructor() { this.children = {}; this.isEndOfWord = false; } } class Trie { constructor() { this.root = new TrieNode(); } insert(word) { let node = this.root; for (let char of word) { if (!node.children[char]) { node.children[char] = new TrieNode(); } node = node.children[char]; } node.isEndOfWord = true; } },Useful
Performs in-order traversal of a binary tree.,def binary_tree_inorder(node): return binary_tree_inorder(node.left) + [node.value] + binary_tree_inorder(node.right) if node else [],Useful
Counts the number of vowels in a given string.,function countVowels(str) { return str.match(/[aeiou]/gi)?.length || 0; },Useful
This function implements the merge sort algorithm to sort an array.,def merge_sort(arr): if len(arr) > 1: mid = len(arr) // 2; L = arr[:mid]; R = arr[mid:]; merge_sort(L); merge_sort(R); i = j = k = 0; while i < len(L) and j < len(R): if L[i] < R[j]: arr[k] = L[i]; i += 1; else: arr[k] = R[j]; j += 1; k += 1; while i < len(L): arr[k] = L[i]; i += 1; k += 1; while j < len(R): arr[k] = R[j]; j += 1; k += 1,Useful
This class is for creating a graph.,"class Graph: def __init__(self): self.vertices = {}; def add_vertex(self, vertex): self.vertices[vertex] = []; def add_edge(self, vertex1, vertex2): self.vertices[vertex1].append(vertex2); self.vertices[vertex2].append(vertex1)",Not Useful
This function helps in limiting the rate at which a function can fire.,"function debounce(func, delay) { let timeout; return function(...args) { const context = this; clearTimeout(timeout); timeout = setTimeout(() => func.apply(context, args), delay); }; }",Useful
This function reverses a linked list.,struct Node { int data; Node* next; }; Node* reverse(Node* head) { Node* prev = nullptr; Node* current = head; Node* next = nullptr; while (current != nullptr) { next = current->next; current->next = prev; prev = current; current = next; } return prev; },Useful
Calculates the Fibonacci number recursively.,"pub fn fibonacci(n: u32) -> u32 { match n { 0 => 0, 1 => 1, _ => fibonacci(n - 1) + fibonacci(n - 2), } }",Useful
Checks if two strings are anagrams.,"def is_anagram(str1, str2): return sorted(str1) == sorted(str2)",Useful
This function sorts an array using the quicksort algorithm.,"function quickSort(arr) { if (arr.length <= 1) return arr; let pivot = arr[arr.length - 1]; let left = [], right = []; for (let i = 0; i < arr.length - 1; i++) { if (arr[i] < pivot) left.push(arr[i]); else right.push(arr[i]); } return [...quickSort(left), pivot, ...quickSort(right)]; }",Useful
This class models a user with a username and password.,"class User: def __init__(self, username, password): self.username = username; self.password = password; def check_password(self, password): return self.password == password",Not Useful
This function implements Dijkstra's algorithm to find the shortest path in a weighted graph.,"def dijkstra(graph, start): shortest_path = {vertex: float('infinity') for vertex in graph}; shortest_path[start] = 0; priority_queue = [(0, start)]; while priority_queue: current_distance, current_vertex = heapq.heappop(priority_queue); for neighbor, weight in graph[current_vertex].items(): distance = current_distance + weight; if distance < shortest_path[neighbor]: shortest_path[neighbor] = distance; heapq.heappush(priority_queue, (distance, neighbor)); return shortest_path",Useful
Performs a binary search on a sorted array.,"fn binary_search(arr: &[i32], target: i32) -> Option<usize> { let mut left = 0; let mut right = arr.len(); while left < right { let mid = left + (right - left) / 2; if arr[mid] == target { return Some(mid); } else if arr[mid] < target { left = mid + 1; } else { right = mid; } } None }",Useful
Counts the number of vowels in a string.,def count_vowels(s): return sum(1 for char in s if char.lower() in 'aeiou'),Useful
This class represents a car.,"class Car: def __init__(self, make, model, year): self.make = make; self.model = model; self.year = year; def display_info(self): return f'{self.year} {self.make} {self.model}'",Not Useful
This function fetches data from a URL.,function fetchData(url) { return fetch(url).then(response => response.json()).then(data => console.log(data)); },Not Useful
Calculates Fibonacci numbers using iteration.,"def fibonacci_iter(n): a, b = 0, 1; for _ in range(n): a, b = b, a + b; return a",Useful
This class implements a stack data structure.,"class Stack: def __init__(self): self.items = []; def push(self, item): self.items.append(item); def pop(self): return self.items.pop() if not self.is_empty() else None; def is_empty(self): return len(self.items) == 0",Not Useful
Merges two sorted arrays into one.,"function merge(arr1, arr2) { let merged = []; let i = 0; let j = 0; while (i < arr1.length && j < arr2.length) { if (arr1[i] < arr2[j]) { merged.push(arr1[i++]); } else { merged.push(arr2[j++]); } } return merged.concat(arr1.slice(i)).concat(arr2.slice(j)); }",Useful
Checks if a number is prime.,"def is_prime(num): if num < 2: return False; for i in range(2, int(num**0.5) + 1): if num % i == 0: return False; return True",Useful
Calculates the greatest common divisor using recursion.,"fn gcd(a: u32, b: u32) -> u32 { if b == 0 { a } else { gcd(b, a % b) } }",Useful
This class converts Celsius to Fahrenheit.,"class Temperature: def __init__(self, celsius): self.celsius = celsius; def to_fahrenheit(self): return (self.celsius * 9 / 5) + 32",Not Useful
This function checks if a string is a palindrome.,function is_palindrome(str) { return str === str.split('').reverse().join(''); },Useful
Searches for a value in a binary tree.,"def binary_tree_search(node, target): if node is None: return False; if node.value == target: return True; return binary_tree_search(node.left, target) or binary_tree_search(node.right, target)",Useful
This class defines a linked list.,"class LinkedList: def __init__(self): self.head = None; def append(self, data): new_node = Node(data); if self.head is None: self.head = new_node; else: last = self.head; while last.next: last = last.next; last.next = new_node",Not Useful
Computes the factorial of a number.,function factorial(n) { if (n === 0) return 1; return n * factorial(n - 1); },Useful
This function sorts an array using the merge sort algorithm.,"pub fn merge_sort<T: Ord>(arr: &mut [T]) { let mid = arr.len() / 2; if mid == 0 { return; } merge_sort(&mut arr[0..mid]); merge_sort(&mut arr[mid..]); let mut merged = Vec::with_capacity(arr.len()); let (mut left, mut right) = (0, mid); while left < mid && right < arr.len() { if arr[left] <= arr[right] { merged.push(arr[left]); left += 1; } else { merged.push(arr[right]); right += 1; } } merged.extend_from_slice(&arr[left..mid]); merged.extend_from_slice(&arr[right..]); arr.copy_from_slice(&merged); }",Useful
Finds two indices of numbers in an array that add up to the target.,"def two_sum(nums, target): num_map = {}; for i, num in enumerate(nums): complement = target - num; if complement in num_map: return [num_map[complement], i]; num_map[num] = i",Useful
This class implements a queue data structure.,"class Queue: def __init__(self): self.items = []; def enqueue(self, item): self.items.append(item); def dequeue(self): return self.items.pop(0) if not self.is_empty() else None; def is_empty(self): return len(self.items) == 0",Not Useful
Removes duplicate values from an array.,function remove_duplicates(arr) { return [...new Set(arr)]; },Useful
Flattens a nested list into a single list.,def flatten(lst): return [item for sublist in lst for item in sublist],Useful
Counts the occurrences of each word in a string.,"pub fn count_words(s: &str) -> HashMap<&str, usize> { let mut word_count = HashMap::new(); for word in s.split_whitespace() { *word_count.entry(word).or_insert(0) += 1; } word_count }",Useful
Finds the longest common prefix string amongst an array of strings.,def longest_common_prefix(strs): if not strs: return ''; prefix = strs[0]; for s in strs[1:]: while s[:len(prefix)] != prefix and prefix: prefix = prefix[:-1]; return prefix,Useful
Generates a Fibonacci sequence up to n.,"function generate_fibonacci(n) { let fib = [0, 1]; for (let i = 2; i < n; i++) { fib[i] = fib[i - 1] + fib[i - 2]; } return fib; }",Useful
Performs a binary search recursively.,"def binary_search_recursive(arr, target, low, high): if low > high: return -1; mid = (low + high) // 2; if arr[mid] == target: return mid; elif arr[mid] < target: return binary_search_recursive(arr, target, mid + 1, high); else: return binary_search_recursive(arr, target, low, mid - 1)",Useful
This class defines a person with a name and age.,"class Person: def __init__(self, name, age): self.name = name; self.age = age; def birthday(self): self.age += 1",Not Useful
Counts down from n to 1.,function count_down(n) { while (n > 0) { console.log(n); n--; } },Not Useful
Rotates the elements of the array to the right by k steps.,"def rotate_array(arr, k): k = k % len(arr); return arr[-k:] + arr[:-k]",Useful
Calculates the nth Fibonacci number using an iterative approach.,"def fibonacci(n): a, b = 0, 1; for _ in range(n): a, b = b, a + b; return a",Useful
This class represents a graph.,"class Graph: def __init__(self): self.edges = {}; def add_edge(self, u, v): if u not in self.edges: self.edges[u] = []; self.edges[u].append(v)",Not Useful
This function sorts an array.,"function mergeSort(arr) { if (arr.length <= 1) return arr; const mid = Math.floor(arr.length / 2); const left = mergeSort(arr.slice(0, mid)); const right = mergeSort(arr.slice(mid)); return merge(left, right); }",Not Useful
Defines a linked list node and its associated list methods.,"struct Node { int data; Node* next; Node(int val) : data(val), next(nullptr) {} }; class LinkedList { Node* head; public: LinkedList() : head(nullptr) {} void append(int val) { Node* newNode = new Node(val); if (!head) { head = newNode; return; } Node* temp = head; while (temp->next) { temp = temp->next; } temp->next = newNode; }};",Useful
This function fetches data from a given URL and returns it as JSON.,async function fetchData(url) { const response = await fetch(url); if (!response.ok) throw new Error('Network response was not ok'); const data = await response.json(); return data; },Useful
This struct defines a Point in 2D space with methods for instantiation and distance calculation.,"pub struct Point { pub x: f64, pub y: f64 } impl Point { pub fn new(x: f64, y: f64) -> Point { Point { x, y } } pub fn distance(&self, other: &Point) -> f64 { ((self.x - other.x).powi(2) + (self.y - other.y).powi(2)).sqrt() } }",Useful
Performs a binary search on sorted array to find the index of the target value.,"def binary_search(arr, target): low, high = 0, len(arr) - 1; while low <= high: mid = (low + high) // 2; if arr[mid] == target: return mid; elif arr[mid] < target: low = mid + 1; else: high = mid - 1; return -1",Useful
This class implements a queue data structure.,class Queue { constructor() { this.items = []; } enqueue(element) { this.items.push(element); } dequeue() { return this.items.shift(); } isEmpty() { return this.items.length == 0; } },Useful
Checks if a given number is prime.,"def is_prime(num): if num < 2: return False; for i in range(2, int(num ** 0.5) + 1): if num % i == 0: return False; return True",Useful
Implements the quicksort algorithm to sort an array in place.,pub fn quicksort(arr: &mut [i32]) { if arr.len() <= 1 { return; } let pivot_index = partition(arr); quicksort(&mut arr[0..pivot_index]); quicksort(&mut arr[pivot_index + 1..]); },Useful
Creates a debounced function that delays invoking func until after wait milliseconds.,"function debounce(func, wait) { let timeout; return function(...args) { const context = this; clearTimeout(timeout); timeout = setTimeout(() => func.apply(context, args), wait); }; }",Useful
Defines a binary tree node and structure.,"class TreeNode { int val; TreeNode* left; TreeNode* right; TreeNode(int x) : val(x), left(NULL), right(NULL) {} }; class BinaryTree { TreeNode* root; public: void insert(int val) { // TODO: Implement insertion logic } }",Not Useful
This function checks if two strings are anagrams.,"def anagram_check(str1, str2): return sorted(str1) == sorted(str2)",Useful
Limits the rate at which a function can be called.,"function throttle(func, limit) { let lastFunc; let lastRan; return function() { const context = this; const args = arguments; if (!lastRan) { func.apply(context, args); lastRan = Date.now(); } else { clearTimeout(lastFunc); lastFunc = setTimeout(function() { if ((Date.now() - lastRan) >= limit) { func.apply(context, args); lastRan = Date.now(); } }, limit - (Date.now() - lastRan)); } }; }",Useful
Merges two dictionaries into one.,"def merge_dicts(dict1, dict2): return {**dict1, **dict2}",Useful
Handles GET requests in a simple HTTP server.,"class SimpleHTTPServer: def do_GET(self): self.send_response(200); self.send_header('Content-type', 'text/html'); self.end_headers(); self.wfile.write(b'Hello, World!')",Useful
Calculates the factorial of a number using an iterator.,pub fn factorial(n: u64) -> u64 { (1..=n).product() },Useful
Calculates the length of the longest common subsequence between two strings.,"def longest_common_subsequence(str1, str2): dp = [[0] * (len(str2) + 1) for _ in range(len(str1) + 1)]; for i in range(1, len(str1) + 1): for j in range(1, len(str2) + 1): if str1[i - 1] == str2[j - 1]: dp[i][j] = dp[i - 1][j - 1] + 1; else: dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]); return dp[-1][-1]",Useful
Makes an AJAX GET request to the specified URL.,"function ajaxGet(url) { const xhr = new XMLHttpRequest(); xhr.open('GET', url); xhr.onload = function() { if (xhr.status >= 200 && xhr.status < 400) { console.log(xhr.responseText); } }; xhr.send(); }",Useful
Implements a generic stack data structure.,template <typename T> class Stack { private: std::vector<T> elements; public: void push(const T& element) { elements.push_back(element); } T pop() { if (elements.empty()) throw std::out_of_range('Stack<>::pop(): empty stack!'); T elem = elements.back(); elements.pop_back(); return elem; } };,Useful
Rotates a square matrix 90 degrees clockwise.,"def rotate_matrix(matrix): n = len(matrix); for i in range(n): for j in range(i, n): matrix[i][j], matrix[j][i] = matrix[j][i], matrix[i][j]; matrix.reverse()",Useful
Defines a User class and prints user information.,"class User { public: string name; int age; User(string n, int a) : name(n), age(a) {} }; vector<User> users; for (auto& user : users) { cout << user.name << ' ' << user.age; }",Not Useful
"Sorts a list of tuples based on the second element, then the first.","def custom_sort(arr): return sorted(arr, key=lambda x: (x[1], x[0]))",Useful
Implements the observer pattern for a subject.,class Subject { private: string name; vector<Observer*> observers; public: void attach(Observer* obs) { observers.push_back(obs); } void notify() { for (Observer* obs : observers) obs->update(); } };,Useful
Counts the number of vowels in a given string.,def count_vowels(s): return sum(1 for char in s if char in 'aeiouAEIOU'),Useful
Creates a reducer function for state management.,"function createReducer(reducer, initialState) { return function(state, action) { const nextState = reducer(state, action); return nextState !== undefined ? nextState : state; }; }",Useful
Sorts an array using the merge sort algorithm.,"pub fn merge_sort<T: Ord>(arr: &mut [T]) { let mid = arr.len() / 2; if mid == 0 { return; } let left = &mut arr[..mid]; let right = &mut arr[mid..]; merge_sort(left); merge_sort(right); merge(left, right); }",Useful
Returns a list of unique elements from the input list.,def unique_elements(lst): return list(set(lst)),Useful
Defines a database class with connection methods.,class Database { public: void connect(); void disconnect(); }; void Database::connect() { // Connection logic here },Not Useful
Flattens a nested list into a single list.,def flatten(nested_list): return [item for sublist in nested_list for item in sublist],Useful
Calculates the height of a binary tree.,"pub fn binary_tree_height(node: Option<Box<TreeNode>>) -> usize { match node { Some(n) => 1 + max(binary_tree_height(n.left), binary_tree_height(n.right)), None => 0 } }",Useful
Generates all permutations of a given list.,def generate_permutations(arr): if len(arr) == 0: return [[]]; return [[arr[i]] + p for i in range(len(arr)) for p in generate_permutations(arr[:i] + arr[i+1:])],Useful
Validates if a string is a proper email format.,function validateEmail(email) { const regex = /^[^\s@]+@[^\s@]+\.[^\s@]+$/; return regex.test(email); },Useful
Implements an LRU cache decorator for function results.,def lru_cache(max_size): def decorator(func): cache = {} def wrapper(*args): if args in cache: return cache[args]; if len(cache) >= max_size: cache.popitem(last=False); cache[args] = func(*args); return cache[args]; return wrapper; return decorator,Useful
Finds the maximum value in an array.,pub fn find_max(arr: &[i32]) -> i32 { *arr.iter().max().unwrap() },Useful
This function implements the quicksort algorithm which sorts an array by selecting a pivot and partitioning the array.,def quicksort(arr): if len(arr) <= 1: return arr else: pivot = arr[len(arr) // 2] left = [x for x in arr if x < pivot] middle = [x for x in arr if x == pivot] right = [x for x in arr if x > pivot] return quicksort(left) + middle + quicksort(right),Useful
This function merges two sorted arrays into a single sorted array.,"const mergeSortedArrays = (arr1, arr2) => { let merged = []; let i = 0; let j = 0; while (i < arr1.length && j < arr2.length) { if (arr1[i] < arr2[j]) { merged.push(arr1[i++]); } else { merged.push(arr2[j++]); } } return merged.concat(arr1.slice(i)).concat(arr2.slice(j)); };",Useful
This class represents a graph data structure and allows adding edges between vertices.,"class Graph: def __init__(self): self.vertices = {} def add_edge(self, v1, v2): if v1 not in self.vertices: self.vertices[v1] = [] self.vertices[v1].append(v2)",Useful
This function fetches data from a given URL asynchronously and handles errors related to the network response.,async function fetchData(url) { const response = await fetch(url); if (!response.ok) throw new Error('Network response was not ok'); const data = await response.json(); return data; },Useful
This struct defines a node in a binary tree with integer value and pointers to left and right child nodes.,"struct TreeNode { int val; TreeNode *left; TreeNode *right; TreeNode(int x) : val(x), left(NULL), right(NULL) {} };",Useful
This function calculates the nth Fibonacci number using an iterative approach.,"def fibonacci(n): a, b = 0, 1 for _ in range(n): a, b = b, a + b return a",Useful
This class implements a singly linked list with a method to append new nodes at the end.,"class LinkedList: def __init__(self): self.head = None def append(self, data): new_node = Node(data) if not self.head: self.head = new_node return current = self.head while current.next: current = current.next current.next = new_node",Useful
This function performs a binary search on a sorted array to find the index of the target value.,"def binary_search(arr, target): low, high = 0, len(arr) - 1 while low <= high: mid = (low + high) // 2 if arr[mid] < target: low = mid + 1 elif arr[mid] > target: high = mid - 1 else: return mid return -1",Useful
This class represents a vehicle with a specific number of wheels and a method to retrieve that number.,"class Vehicle: def __init__(self, wheels): self.wheels = wheels def get_wheels(self): return self.wheels",Useful
This function checks if a given string is a palindrome by comparing it to its reverse.,def is_palindrome(s): return s == s[::-1],Useful
This function sends a POST request to a specified URL with JSON data and returns the response.,"async function postData(url = '', data = {}) { const response = await fetch(url, { method: 'POST', headers: { 'Content-Type': 'application/json' }, body: JSON.stringify(data) }); return response.json(); }",Useful
This template class implements a stack data structure with push and pop operations.,template <typename T> class Stack { private: vector<T> elements; public: void push(const T& element) { elements.push_back(element); } T pop() { if (elements.empty()) throw out_of_range('Stack<>::pop(): empty stack'); T elem = elements.back(); elements.pop_back(); return elem; } };,Useful
This function implements the merge sort algorithm to sort an array by recursively dividing it into halves.,"def merge_sort(arr): if len(arr) <= 1: return arr mid = len(arr) // 2 left_half = merge_sort(arr[:mid]) right_half = merge_sort(arr[mid:]) return merge(left_half, right_half)",Useful
This function creates a debounced version of a function that delays its execution until after a specified delay.,"function debounce(func, delay) { let timeout; return function(...args) { const context = this; clearTimeout(timeout); timeout = setTimeout(() => func.apply(context, args), delay); }; }",Useful
This class maintains a count and provides methods to increment and retrieve the count value.,class Counter: def __init__(self): self.count = 0 def increment(self): self.count += 1 def get_count(self): return self.count,Useful
This function implements Kadane's algorithm to find the maximum sum of a contiguous subarray.,"def find_max_subarray(arr): max_sum = current_sum = arr[0] for num in arr[1:]: current_sum = max(num, current_sum + num) max_sum = max(max_sum, current_sum) return max_sum",Useful
This class represents a matrix and provides a method to compute its transpose.,"class Matrix: def __init__(self, data): self.data = data def transpose(self): return [[self.data[j][i] for j in range(len(self.data))] for i in range(len(self.data[0]))]",Useful
This function performs depth-first search on a graph starting from a given vertex.,"def depth_first_search(graph, start): visited, stack = set(), [start] while stack: vertex = stack.pop() if vertex not in visited: visited.add(vertex) stack.extend(set(graph[vertex]) - visited) return visited",Useful
This class represents a user with a username and email and provides a string representation.,"class User: def __init__(self, username, email): self.username = username self.email = email def __str__(self): return f'User: {self.username}, Email: {self.email}'",Useful
This function calculates the angle between the hour and minute hands of a clock.,"def clock_angle(hour, minute): hour_angle = (hour % 12 + minute / 60) * 30 minute_angle = minute * 6 return abs(hour_angle - minute_angle)",Useful
This class implements a queue data structure with enqueue and dequeue operations.,"class Queue: def __init__(self): self.items = [] def enqueue(self, item): self.items.insert(0, item) def dequeue(self): return self.items.pop()",Useful
This function computes the prime factors of a given number using trial division.,"def prime_factors(n): factors = [] for i in range(2, int(n**0.5) + 1): while n % i == 0: factors.append(i) n //= i if n > 1: factors.append(n) return factors",Useful
This function loads data from a URL and parses it as CSV format.,async function loadAndParse(url) { const response = await fetch(url); const text = await response.text(); return parseCSV(text); },Useful
This class hierarchy defines a base Shape class and a Rectangle class that calculates its area.,"class Shape: def area(self): pass class Rectangle(Shape): def __init__(self, width, height): self.width = width self.height = height def area(self): return self.width * self.height",Useful
This function rotates an array to the right by k steps in-place.,"def rotate_array(arr, k): n = len(arr) k = k % n arr[:] = arr[-k:] + arr[:-k]",Useful
"This class manages file operations, including reading the contents of a file.","class FileManager: def __init__(self, filename): self.filename = filename def read(self): with open(self.filename, 'r') as file: return file.read()",Useful
This function finds the longest common prefix string among an array of strings.,def longest_common_prefix(strs): if not strs: return '' prefix = strs[0] for s in strs[1:]: while s[:len(prefix)] != prefix and prefix: prefix = prefix[:-1] return prefix,Useful
This code demonstrates inheritance where Dog class inherits from Animal class and overrides the speak method.,class Animal: def speak(self): pass class Dog(Animal): def speak(self): return 'Woof!',Useful
This function calculates the final price after applying a discount percentage.,"def calculate_discount(price, discount): return price - (price * discount / 100)",Useful
