Comments,Surrounding Code Context,Class
Implements a simple thread pool for parallel task execution in C++,"template <typename T> class ThreadPool { private: std::vector<std::thread> workers; std::queue<T> tasks; std::mutex queue_mutex; std::condition_variable condition; bool stop; public: ThreadPool(size_t threads) : stop(false) { for (size_t i = 0; i < threads; ++i) { workers.emplace_back([this] { while (true) { T task; { std::unique_lock<std::mutex> lock(this->queue_mutex); this->condition.wait(lock, [this] { return this->stop || !this->tasks.empty(); }); if (this->stop && this->tasks.empty()) { return; } task = std::move(this->tasks.front()); this->tasks.pop(); } task(); } }); } template <class F> void enqueue(F&& f) { { std::unique_lock<std::mutex> lock(queue_mutex); tasks.emplace(std::forward<F>(f)); } condition.notify_one(); } ~ThreadPool() { { std::unique_lock<std::mutex> lock(queue_mutex); stop = true; } condition.notify_all(); for (std::thread& worker : workers) { worker.join(); } } };",Useful
Implements the Floyd-Warshall algorithm for all-pairs shortest path,"def floyd_warshall(graph): V = len(graph) dist = [[float('inf')] * V for _ in range(V)] for i in range(V): for j in range(V): dist[i][j] = graph[i][j] for k in range(V): for i in range(V): for j in range(V): dist[i][j] = min(dist[i][j], dist[i][k] + dist[k][j]) return dist",Useful
Implements the Knuth-Morris-Pratt (KMP) string matching algorithm in Rust,"fn kmp_search(text: &str, pattern: &str) -> Vec<usize> { let text = text.as_bytes(); let pattern = pattern.as_bytes(); let mut lps = vec![0; pattern.len()]; let mut len = 0; let mut i = 1; while i < pattern.len() { if pattern[i] == pattern[len] { len += 1; lps[i] = len; i += 1; } else if len != 0 { len = lps[len - 1]; } else { lps[i] = 0; i += 1; } } let mut result = Vec::new(); let mut i = 0; let mut j = 0; while i < text.len() { if pattern[j] == text[i] { i += 1; j += 1; } if j == pattern.len() { result.push(i - j); j = lps[j - 1]; } else if i < text.len() && pattern[j] != text[i] { if j != 0 { j = lps[j - 1]; } else { i += 1; } } } result }",Useful
Implements a max priority queue using a binary heap in JavaScript,"class PriorityQueue { constructor() { this.heap = []; } parent(i) { return Math.floor((i - 1) / 2); } leftChild(i) { return 2 * i + 1; } rightChild(i) { return 2 * i + 2; } swap(i, j) { [this.heap[i], this.heap[j]] = [this.heap[j], this.heap[i]]; } insert(key) { this.heap.push(key); this.heapifyUp(this.heap.length - 1); } extractMax() { if (this.heap.length === 0) return null; if (this.heap.length === 1) return this.heap.pop(); const max = this.heap[0]; this.heap[0] = this.heap.pop(); this.heapifyDown(0); return max; } heapifyUp(i) { while (i > 0 && this.heap[this.parent(i)] < this.heap[i]) { this.swap(i, this.parent(i)); i = this.parent(i); } } heapifyDown(i) { let maxIndex = i; const left = this.leftChild(i); const right = this.rightChild(i); if (left < this.heap.length && this.heap[left] > this.heap[maxIndex]) { maxIndex = left; } if (right < this.heap.length && this.heap[right] > this.heap[maxIndex]) { maxIndex = right; } if (i !== maxIndex) { this.swap(i, maxIndex); this.heapifyDown(maxIndex); } } }",Useful
Implements the Rabin-Karp string matching algorithm,"def rabin_karp(text, pattern): d = 256 q = 101 m = len(pattern) n = len(text) p = 0 t = 0 h = 1 result = [] for i in range(m-1): h = (h * d) % q for i in range(m): p = (d * p + ord(pattern[i])) % q t = (d * t + ord(text[i])) % q for i in range(n - m + 1): if p == t: if text[i:i+m] == pattern: result.append(i) if i < n - m: t = (d * (t - ord(text[i]) * h) + ord(text[i + m])) % q if t < 0: t += q return result",Useful
Implements the Bellman-Ford algorithm for finding shortest paths in a weighted graph,"fn bellman_ford(graph: &Vec<Vec<(usize, i32)>>, start: usize) -> Option<Vec<i32>> { let n = graph.len(); let mut dist = vec![i32::MAX; n]; dist[start] = 0; for _ in 0..n-1 { for u in 0..n { for &(v, w) in &graph[u] { if dist[u] != i32::MAX && dist[u] + w < dist[v] { dist[v] = dist[u] + w; } } } } for u in 0..n { for &(v, w) in &graph[u] { if dist[u] != i32::MAX && dist[u] + w < dist[v] { return None; } } } Some(dist) }",Useful
Implements a Bloom filter data structure for probabilistic set membership testing,"class BloomFilter { constructor(size, hashFunctions) { this.size = size; this.hashFunctions = hashFunctions; this.bitArray = new Array(size).fill(0); } add(item) { this.hashFunctions.forEach(hashFunc => { const index = hashFunc(item) % this.size; this.bitArray[index] = 1; }); } contains(item) { return this.hashFunctions.every(hashFunc => { const index = hashFunc(item) % this.size; return this.bitArray[index] === 1; }); } }",Useful
Implements Tarjan's algorithm for finding strongly connected components in a directed graph,"def tarjan_scc(graph): index = 0 stack = [] on_stack = set() indices = {} lowlinks = {} sccs = [] def strongconnect(v): nonlocal index indices[v] = index lowlinks[v] = index index += 1 stack.append(v) on_stack.add(v) for w in graph[v]: if w not in indices: strongconnect(w) lowlinks[v] = min(lowlinks[v], lowlinks[w]) elif w in on_stack: lowlinks[v] = min(lowlinks[v], indices[w]) if lowlinks[v] == indices[v]: scc = [] while True: w = stack.pop() on_stack.remove(w) scc.append(w) if w == v: break sccs.append(scc) for v in graph: if v not in indices: strongconnect(v) return sccs",Useful
Implements Huffman coding for text compression in Rust,"fn huffman_encoding(text: &str) -> (String, std::collections::HashMap<char, String>) { use std::collections::{BinaryHeap, HashMap}; use std::cmp::Reverse; let mut freq = HashMap::new(); for c in text.chars() { *freq.entry(c).or_insert(0) += 1; } let mut heap = BinaryHeap::new(); for (c, f) in freq.iter() { heap.push(Reverse((f, *c, String::new()))); } while heap.len() > 1 { let Reverse((f1, c1, code1)) = heap.pop().unwrap(); let Reverse((f2, c2, code2)) = heap.pop().unwrap(); let mut new_code1 = code1.clone(); let mut new_code2 = code2.clone(); new_code1.insert(0, '0'); new_code2.insert(0, '1'); heap.push(Reverse((f1 + f2, '\0', String::new()))); heap.push(Reverse((f1, c1, new_code1))); heap.push(Reverse((f2, c2, new_code2))); } let mut encoding = HashMap::new(); while let Some(Reverse((_, c, code))) = heap.pop() { if c != '\0' { encoding.insert(c, code); } } let encoded = text.chars().map(|c| encoding[&c].clone()).collect(); (encoded, encoding) }",Useful
Implements a segment tree for range queries and updates in JavaScript,"class SegmentTree { constructor(arr) { this.n = arr.length; this.tree = new Array(4 * this.n).fill(0); this.build(arr, 1, 0, this.n - 1); } build(arr, node, start, end) { if (start === end) { this.tree[node] = arr[start]; return; } const mid = Math.floor((start + end) / 2); this.build(arr, 2 * node, start, mid); this.build(arr, 2 * node + 1, mid + 1, end); this.tree[node] = this.tree[2 * node] + this.tree[2 * node + 1]; } update(index, value, node = 1, start = 0, end = this.n - 1) { if (start === end) { this.tree[node] = value; return; } const mid = Math.floor((start + end) / 2); if (index <= mid) { this.update(index, value, 2 * node, start, mid); } else { this.update(index, value, 2 * node + 1, mid + 1, end); } this.tree[node] = this.tree[2 * node] + this.tree[2 * node + 1]; } query(left, right, node = 1, start = 0, end = this.n - 1) { if (right < start || end < left) return 0; if (left <= start && end <= right) return this.tree[node]; const mid = Math.floor((start + end) / 2); const leftSum = this.query(left, right, 2 * node, start, mid); const rightSum = this.query(left, right, 2 * node + 1, mid + 1, end); return leftSum + rightSum; } }",Useful
Implements the 0/1 Knapsack problem using dynamic programming,"def knapsack(weights, values, capacity): n = len(values) dp = [[0 for _ in range(capacity + 1)] for _ in range(n + 1)] for i in range(n + 1): for w in range(capacity + 1): if i == 0 or w == 0: dp[i][w] = 0 elif weights[i - 1] <= w: dp[i][w] = max(values[i - 1] + dp[i - 1][w - weights[i - 1]], dp[i - 1][w]) else: dp[i][w] = dp[i - 1][w] return dp[n][capacity]",Useful
Implements binary search algorithm in Rust,"fn binary_search(arr: &[i32], target: i32) -> Option<usize> { let mut left = 0; let mut right = arr.len() as isize - 1; while left <= right { let mid = (left + right) / 2; if arr[mid as usize] == target { return Some(mid as usize); } else if arr[mid as usize] < target { left = mid + 1; } else { right = mid - 1; } } None }",Useful
Implements a stack data structure in JavaScript,class Stack { constructor() { this.items = []; } push(item) { this.items.push(item); } pop() { return this.items.pop(); } peek() { return this.items[this.items.length - 1]; } isEmpty() { return this.items.length === 0; } size() { return this.items.length; } },Useful
Implements the merge sort algorithm in Python,def mergesort(arr): if len(arr) > 1: mid = len(arr) // 2 L = arr[:mid] R = arr[mid:] mergesort(L) mergesort(R) i = j = k = 0 while i < len(L) and j < len(R): if L[i] < R[j]: arr[k] = L[i] i += 1 else: arr[k] = R[j] j += 1 k += 1 while i < len(L): arr[k] = L[i] i += 1 k += 1 while j < len(R): arr[k] = R[j] j += 1 k += 1,Useful
Calculates the factorial of a number using recursion in Rust,fn factorial(n: u32) -> u32 { if n == 0 { return 1; } factorial(n - 1) * n },Useful
Calculates the nth Fibonacci number using recursion,def fibonacci(n): if n <= 1: return n return fibonacci(n - 1) + fibonacci(n - 2),Useful
This function implements the merge sort algorithm on the input array.,def merge_sort(arr): if len(arr) > 1: mid = len(arr) // 2; L = arr[:mid]; R = arr[mid:]; merge_sort(L); merge_sort(R); i = j = k = 0; while i < len(L) and j < len(R): if L[i] < R[j]: arr[k] = L[i]; i += 1; else: arr[k] = R[j]; j += 1; k += 1; while i < len(L): arr[k] = L[i]; i += 1; k += 1; while j < len(R): arr[k] = R[j]; j += 1; k += 1,Useful
This function delays the execution of a given function until after a specified wait time.,"function debounce(func, wait) { let timeout; return function executedFunction(...args) { const later = () => { timeout = null; if (args) func(...args); }; clearTimeout(timeout); timeout = setTimeout(later, wait); }; };",Useful
Defines a binary tree node structure with left and right child pointers.,"struct Node { int data; Node* left; Node* right; Node(int val) : data(val), left(nullptr), right(nullptr) {} };",Useful
Calculates the factorial of a given number using a range and product.,pub fn factorial(n: u64) -> u64 { (1..=n).product() },Useful
Fetches data from a given URL asynchronously and returns the parsed JSON.,async function fetchData(url) { const response = await fetch(url); const data = await response.json(); return data; },Useful
Implements the quick sort algorithm to sort an array.,def quick_sort(arr): if len(arr) <= 1: return arr; pivot = arr[len(arr) // 2]; left = [x for x in arr if x < pivot]; middle = [x for x in arr if x == pivot]; right = [x for x in arr if x > pivot]; return quick_sort(left) + middle + quick_sort(right),Useful
Limits the rate at which a function can be executed to a specified limit.,"function throttle(func, limit) { let lastFunc; let lastRan; return function() { const context = this; const args = arguments; if (!lastRan) { func.apply(context, args); lastRan = Date.now(); } else { clearTimeout(lastFunc); lastFunc = setTimeout(function() { if ((Date.now() - lastRan) >= limit) { func.apply(context, args); lastRan = Date.now(); } }, limit - (Date.now() - lastRan)); } };",Useful
"Defines a generic stack class that supports push, pop, and is_empty operations.","template<typename T> class Stack { private: std::vector<T> elements; public: void push(const T& element) { elements.push_back(element); } T pop() { if(elements.empty()) throw std::out_of_range(""Stack<>::pop(): empty stack""); T elem = elements.back(); elements.pop_back(); return elem; } bool is_empty() const { return elements.empty(); } };",Useful
Calculates the nth Fibonacci number using recursion.,"fn fibonacci(n: u32) -> u32 { match n { 0 => 0, 1 => 1, _ => fibonacci(n - 1) + fibonacci(n - 2) } }",Useful
Creates a linked list with an append method to add values to the list.,"class LinkedList { constructor() { this.head = null; } append(value) { let newNode = { value, next: null }; if (!this.head) { this.head = newNode; return; } let current = this.head; while (current.next) { current = current.next; } current.next = newNode; } }",Useful
Implements the dynamic programming solution to the 0/1 knapsack problem.,"def knapsack(weights, values, capacity): n = len(values); K = [[0 for _ in range(capacity + 1)] for _ in range(n + 1)]; for i in range(n + 1): for w in range(capacity + 1): if i == 0 or w == 0: K[i][w] = 0; elif weights[i-1] <= w: K[i][w] = max(values[i-1] + K[i-1][w-weights[i-1]], K[i-1][w]); else: K[i][w] = K[i-1][w]; return K[n][capacity]",Useful
Loads an image from a URL and returns a promise that resolves with the image.,"async function loadImage(url) { const img = new Image(); img.src = url; return new Promise((resolve, reject) => { img.onload = () => resolve(img); img.onerror = reject; }); }",Useful
Defines a binary tree class with a method to insert new values.,"class BinaryTree { constructor(value) { this.root = { value, left: null, right: null }; } insert(value) { const insertNode = (node, value) => { if (!node) return { value, left: null, right: null }; if (value < node.value) { node.left = insertNode(node.left, value); } else { node.right = insertNode(node.right, value); } return node; }; this.root = insertNode(this.root, value); } }",Useful
Implements binary search algorithm to find the index of a target value in a sorted array.,"def binary_search(arr, target): left, right = 0, len(arr) - 1; while left <= right: mid = (left + right) // 2; if arr[mid] == target: return mid; elif arr[mid] < target: left = mid + 1; else: right = mid - 1; return -1",Useful
Checks if a given string is a palindrome.,function isPalindrome(str) { const reversed = str.split('').reverse().join(''); return str === reversed; },Useful
Implements the quicksort algorithm in C++ to sort an array.,"template<typename T> void quicksort(std::vector<T>& arr, int left, int right) { int i = left, j = right; T pivot = arr[(left + right) / 2]; while (i <= j) { while (arr[i] < pivot) i++; while (arr[j] > pivot) j--; if (i <= j) { std::swap(arr[i], arr[j]); i++; j--; } } if (left < j) quicksort(arr, left, j); if (i < right) quicksort(arr, i, right); }",Useful
Sorts a slice of elements using the merge sort algorithm.,"pub fn merge_sort<T: Ord>(arr: &mut [T]) { let mid = arr.len() / 2; if mid == 0 { return; } merge_sort(&mut arr[..mid]); merge_sort(&mut arr[mid..]); let mut result = Vec::with_capacity(arr.len()); let (mut left, mut right) = (0, mid); while left < mid && right < arr.len() { if arr[left] <= arr[right] { result.push(arr[left]); left += 1; } else { result.push(arr[right]); right += 1; } } result.extend_from_slice(&arr[left..mid]); result.extend_from_slice(&arr[right..]); arr.copy_from_slice(&result); }",Useful
Defines a graph class that allows adding nodes and edges.,"class Graph { constructor() { this.nodes = {}; } addNode(node) { this.nodes[node] = []; } addEdge(node1, node2) { this.nodes[node1].push(node2); this.nodes[node2].push(node1); } }",Useful
Implements Dijkstra's algorithm to find the shortest paths from a starting vertex in a graph.,"def dijkstra(graph, start): shortest_paths = {vertex: float('infinity') for vertex in graph}; shortest_paths[start] = 0; pq = [(0, start)]; while pq: current_distance, current_vertex = heapq.heappop(pq); for neighbor, weight in graph[current_vertex].items(): distance = current_distance + weight; if distance < shortest_paths[neighbor]: shortest_paths[neighbor] = distance; heapq.heappush(pq, (distance, neighbor)); return shortest_paths",Useful
Sorts an array using the selection sort algorithm.,"function selectionSort(arr) { for (let i = 0; i < arr.length - 1; i++) { let minIndex = i; for (let j = i + 1; j < arr.length; j++) { if (arr[j] < arr[minIndex]) { minIndex = j; } } if (minIndex !== i) { [arr[i], arr[minIndex]] = [arr[minIndex], arr[i]]; } } return arr; }",Useful
Defines an AVL tree class with insertion and balancing methods.,"class AVLTree { constructor() { this.root = null; } insert(value) { this.root = this._insert(this.root, value); } _insert(node, value) { if (!node) return new Node(value); if (value < node.value) node.left = this._insert(node.left, value); else if (value > node.value) node.right = this._insert(node.right, value); return this._balance(node); } _balance(node) { // Balancing logic here } }",Useful
Implements breadth-first search algorithm to traverse a graph.,"def bfs(graph, start): visited = set(); queue = [start]; while queue: vertex = queue.pop(0); if vertex not in visited: visited.add(vertex); queue.extend(set(graph[vertex]) - visited); return visited",Useful
Merges two sorted arrays into one sorted array.,"function mergeArrays(arr1, arr2) { let merged = []; let i = 0, j = 0; while (i < arr1.length && j < arr2.length) { if (arr1[i] < arr2[j]) { merged.push(arr1[i++]); } else { merged.push(arr2[j++]); } } return merged.concat(arr1.slice(i)).concat(arr2.slice(j)); }",Useful
Calculates the depth of a binary tree recursively.,"pub fn binary_tree_depth<T>(node: &Option<Box<Node<T>>>) -> usize { match node { Some(n) => 1 + binary_tree_depth(&n.left).max(binary_tree_depth(&n.right)), None => 0, } }",Useful
Defines a simple queue class with enqueue and dequeue methods.,class Queue { constructor() { this.items = []; } enqueue(item) { this.items.push(item); } dequeue() { return this.items.shift(); } isEmpty() { return this.items.length === 0; } },Useful
Determines whether a number is prime or not.,"def is_prime(num): if num < 2: return False; for i in range(2, int(num**0.5) + 1): if num % i == 0: return False; return True",Useful
Calculates the factorial of a number using recursion.,function factorial(n) { if (n < 0) return undefined; return n === 0 ? 1 : n * factorial(n - 1); },Useful
Defines a max heap data structure with insertion functionality.,"class MaxHeap { constructor() { this.heap = []; } insert(num) { this.heap.push(num); this.bubbleUp(); } bubbleUp() { let index = this.heap.length - 1; while (index > 0) { let parentIndex = Math.floor((index - 1) / 2); if (this.heap[parentIndex] >= this.heap[index]) break; [this.heap[parentIndex], this.heap[index]] = [this.heap[index], this.heap[parentIndex]]; index = parentIndex; } } }",Useful
Removes duplicates from a vector in Rust.,pub fn remove_duplicates(vec: &mut Vec<i32>) { let mut seen = HashSet::new(); vec.retain(|&x| seen.insert(x)); },Useful
Rotates an array to the right by k steps.,"def rotate_array(arr, k): k = k % len(arr); return arr[-k:] + arr[:-k]",Useful
Performs binary search on a sorted array to find the target index.,"function binarySearch(arr, target) { let left = 0, right = arr.length - 1; while (left <= right) { const mid = Math.floor((left + right) / 2); if (arr[mid] === target) return mid; if (arr[mid] < target) left = mid + 1; else right = mid - 1; } return -1; }",Useful
Computes the length of the longest common subsequence between two strings.,"def longest_common_subsequence(a, b): m, n = len(a), len(b); dp = [[0] * (n + 1) for _ in range(m + 1)]; for i in range(1, m + 1): for j in range(1, n + 1): if a[i - 1] == b[j - 1]: dp[i][j] = dp[i - 1][j - 1] + 1; else: dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]); return dp[m][n]",Useful
Defines a trie data structure for efficient word storage and retrieval.,class TrieNode { constructor() { this.children = {}; this.isEndOfWord = false; } } class Trie { constructor() { this.root = new TrieNode(); } insert(word) { let node = this.root; for (let char of word) { if (!node.children[char]) { node.children[char] = new TrieNode(); } node = node.children[char]; } node.isEndOfWord = true; } },Useful
Performs in-order traversal of a binary tree.,def binary_tree_inorder(node): return binary_tree_inorder(node.left) + [node.value] + binary_tree_inorder(node.right) if node else [],Useful
Counts the number of vowels in a given string.,function countVowels(str) { return str.match(/[aeiou]/gi)?.length || 0; },Useful
This function implements the merge sort algorithm to sort an array.,def merge_sort(arr): if len(arr) > 1: mid = len(arr) // 2; L = arr[:mid]; R = arr[mid:]; merge_sort(L); merge_sort(R); i = j = k = 0; while i < len(L) and j < len(R): if L[i] < R[j]: arr[k] = L[i]; i += 1; else: arr[k] = R[j]; j += 1; k += 1; while i < len(L): arr[k] = L[i]; i += 1; k += 1; while j < len(R): arr[k] = R[j]; j += 1; k += 1,Useful
This class is for creating a graph.,"class Graph: def __init__(self): self.vertices = {}; def add_vertex(self, vertex): self.vertices[vertex] = []; def add_edge(self, vertex1, vertex2): self.vertices[vertex1].append(vertex2); self.vertices[vertex2].append(vertex1)",Not Useful
This function helps in limiting the rate at which a function can fire.,"function debounce(func, delay) { let timeout; return function(...args) { const context = this; clearTimeout(timeout); timeout = setTimeout(() => func.apply(context, args), delay); }; }",Useful
This function reverses a linked list.,struct Node { int data; Node* next; }; Node* reverse(Node* head) { Node* prev = nullptr; Node* current = head; Node* next = nullptr; while (current != nullptr) { next = current->next; current->next = prev; prev = current; current = next; } return prev; },Useful
Calculates the Fibonacci number recursively.,"pub fn fibonacci(n: u32) -> u32 { match n { 0 => 0, 1 => 1, _ => fibonacci(n - 1) + fibonacci(n - 2), } }",Useful
Checks if two strings are anagrams.,"def is_anagram(str1, str2): return sorted(str1) == sorted(str2)",Useful
This function sorts an array using the quicksort algorithm.,"function quickSort(arr) { if (arr.length <= 1) return arr; let pivot = arr[arr.length - 1]; let left = [], right = []; for (let i = 0; i < arr.length - 1; i++) { if (arr[i] < pivot) left.push(arr[i]); else right.push(arr[i]); } return [...quickSort(left), pivot, ...quickSort(right)]; }",Useful
This class models a user with a username and password.,"class User: def __init__(self, username, password): self.username = username; self.password = password; def check_password(self, password): return self.password == password",Not Useful
This function implements Dijkstra's algorithm to find the shortest path in a weighted graph.,"def dijkstra(graph, start): shortest_path = {vertex: float('infinity') for vertex in graph}; shortest_path[start] = 0; priority_queue = [(0, start)]; while priority_queue: current_distance, current_vertex = heapq.heappop(priority_queue); for neighbor, weight in graph[current_vertex].items(): distance = current_distance + weight; if distance < shortest_path[neighbor]: shortest_path[neighbor] = distance; heapq.heappush(priority_queue, (distance, neighbor)); return shortest_path",Useful
Performs a binary search on a sorted array.,"fn binary_search(arr: &[i32], target: i32) -> Option<usize> { let mut left = 0; let mut right = arr.len(); while left < right { let mid = left + (right - left) / 2; if arr[mid] == target { return Some(mid); } else if arr[mid] < target { left = mid + 1; } else { right = mid; } } None }",Useful
Counts the number of vowels in a string.,def count_vowels(s): return sum(1 for char in s if char.lower() in 'aeiou'),Useful
This class represents a car.,"class Car: def __init__(self, make, model, year): self.make = make; self.model = model; self.year = year; def display_info(self): return f'{self.year} {self.make} {self.model}'",Not Useful
This function fetches data from a URL.,function fetchData(url) { return fetch(url).then(response => response.json()).then(data => console.log(data)); },Not Useful
Calculates Fibonacci numbers using iteration.,"def fibonacci_iter(n): a, b = 0, 1; for _ in range(n): a, b = b, a + b; return a",Useful
This class implements a stack data structure.,"class Stack: def __init__(self): self.items = []; def push(self, item): self.items.append(item); def pop(self): return self.items.pop() if not self.is_empty() else None; def is_empty(self): return len(self.items) == 0",Not Useful
